code,country
ATL,United States
PEK,China
DXB,United Arab Emirates
LAX,United States
ORD,United States
LHR,United Kingdom
HND,Japan
HKG,Hong Kong
PVG,China
CDG,France
AMS,Netherlands
DFW,United States
CAN,China
FRA,Germany
IST,Turkey
DEL,India
CGK,Indonesia
SIN,Singapore
ICN,South Korea
DEN,United States
BKK,Thailand
JFK,United States
KUL,Malaysia
SFO,United States
MAD,Spain
CTU,China
LAS,United States
BCN,Spain
BOM,India
YYZ,Canada
SEA,United States
CLT,United States
LGW,United Kingdom
SZX,China
TPE,Taiwan
MEX,Mexico
KMG,China
MUC,Germany
MCO,United States
MIA,United States
PHX,United States
SYD,Australia
EWR,United States
MNL,Philippines
SHA,China
XIY,China
FCO,Italy
IAH,United States
NRT,Japan
SVO,Russia
CKG,China
DMK,Thailand
MSP,United States
GRU,Brazil
BOS,United States
SGN,Vietnam
DOH,Qatar
HGH,China
DTW,United States
JED,Saudi Arabia
MEL,Australia
FLL,United States
ORL,United States
SAW,Turkey
BOG,Colombia
DME,Russia
CJU,South Korea
LGA,United States
PHL,United States
DUB,Ireland
ZRH,Switzerland
CPH,Denmark
KIX,Japan
PMI,Spain
MAN,United Kingdom
OSL,Norway
LIS,Portugal
ARN,Sweden
BWI,United States
AYT,Turkey
STN,United Kingdom
NKG,China
GMP,South Korea
BLR,India
RUH,Saudi Arabia
BRU,Belgium
DUS,Germany
XMN,China
VIE,Austria
CGO,China
SLC,United States
YVR,Canada
DCA,United States
CSX,China
AUH,United Arab Emirates
CUN,Mexico
FUK,Japan
TAO,China
BNE,Australia
WUH,China
MAA,India
COK,India
HYD,India
TRV,India
CCU,India
AMD,India
CCJ,India
JAI,India
GOI,India
LKO,India
CJB,India
TRZ,India
PNQ,India
IXB,India
GAU,India
VTZ,India
ATQ,India
IXM,India
NAG,India
IXC,India
IXJ,India
SXR,India
IXE,India
IXZ,India
IDR,India
IXA,India
PAT,India
