,,,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare
0,,,8:00:00,2,2:10:00,10:10:00,2,G8334,G8,Go First,4589,,
1,,,10:55:00,2,2:15:00,13:10:00,2,G8338,G8,Go First,4589,,
2,,,19:45:00,2,2:15:00,22:00:00,2,G8346,G8,Go First,4589,,
3,,,20:50:00,2,2:15:00,23:05:00,2,G8330,G8,Go First,4589,,
4,,,7:20:00,5,2:15:00,9:35:00,5,SG8701,SG,SpiceJet,4813,,
5,,,19:45:00,5,2:15:00,22:00:00,5,SG8169,SG,SpiceJet,4882,,
6,,,19:45:00,6,2:15:00,22:00:00,6,SG8169,SG,SpiceJet,4882,,
7,,,21:40:00,2,2:15:00,23:55:00,2,SG711,SG,SpiceJet,4882,,
8,,,21:40:00,5,2:15:00,23:55:00,5,SG711,SG,SpiceJet,4882,,
9,,,7:20:00,4,2:15:00,9:35:00,4,SG8701,SG,SpiceJet,4882,,
10,,,21:40:00,6,2:15:00,23:55:00,6,SG711,SG,SpiceJet,4882,,
11,,,7:20:00,3,2:15:00,9:35:00,3,SG8701,SG,SpiceJet,4882,,
12,,,19:45:00,2,2:15:00,22:00:00,2,SG8169,SG,SpiceJet,4882,,
13,,,19:00:00,3,2:10:00,21:10:00,3,SG8709,SG,SpiceJet,4940,,
14,,,19:00:00,6,2:10:00,21:10:00,6,SG8709,SG,SpiceJet,4940,,
15,,,7:20:00,6,2:15:00,9:35:00,6,SG8701,SG,SpiceJet,4940,,
16,,,21:40:00,3,2:15:00,23:55:00,3,SG711,SG,SpiceJet,4940,,
17,,,19:45:00,3,2:15:00,22:00:00,3,SG8169,SG,SpiceJet,4940,,
18,,,20:50:00,4,2:15:00,23:05:00,4,G8330,G8,Go First,5054,,
19,,,14:30:00,1,2:10:00,16:40:00,1,G8336,G8,Go First,5055,,
20,,,14:30:00,4,2:10:00,16:40:00,4,G8336,G8,Go First,5055,,
21,,,22:45:00,4,2:15:00,1:00:00,5,G8354,G8,Go First,5055,,
22,,,18:20:00,6,2:15:00,20:35:00,6,G8323,G8,Go First,5055,,
23,,,20:50:00,1,2:15:00,23:05:00,1,G8330,G8,Go First,5055,,
24,,,20:50:00,5,2:15:00,23:05:00,5,G8330,G8,Go First,5055,,
25,,,6:05:00,1,2:50:00,8:55:00,1,SG191,SG,SpiceJet,6353,,
26,,,8:10:00,6,2:30:00,10:40:00,6,I5740,I5,AirAsia India,7026,,
27,,,8:10:00,5,2:30:00,10:40:00,5,I5740,I5,AirAsia India,7026,,
28,,,8:10:00,1,2:30:00,10:40:00,1,I5740,I5,AirAsia India,7026,,
29,,,21:40:00,0,2:50:00,0:30:00,1,I51732,I5,AirAsia India,7026,,
30,,,21:40:00,1,2:50:00,0:30:00,2,I51732,I5,AirAsia India,7026,,
31,,,18:45:00,1,2:55:00,21:40:00,1,I5857,I5,AirAsia India,7026,,
32,,,20:30:00,0,2:55:00,23:25:00,0,G8119,G8,Go First,7105,,
33,,,5:50:00,1,2:45:00,8:35:00,1,G8113,G8,Go First,7106,,
34,,,5:50:00,6,2:45:00,8:35:00,6,G8113,G8,Go First,7106,,
35,,,5:50:00,0,2:45:00,8:35:00,0,G8113,G8,Go First,7106,,
36,,,5:50:00,4,2:45:00,8:35:00,4,G8113,G8,Go First,7106,,
37,,,20:30:00,1,2:55:00,23:25:00,1,G8119,G8,Go First,7106,,
38,,,8:10:00,4,2:30:00,10:40:00,4,I5740,I5,AirAsia India,7202,,
39,,,21:40:00,4,2:50:00,0:30:00,5,I51732,I5,AirAsia India,7203,,
40,,,20:00:00,1,2:30:00,22:30:00,1,SG537,SG,SpiceJet,8380,,
41,,,20:30:00,6,2:55:00,23:25:00,6,G8119,G8,Go First,8483,,
42,,,6:05:00,4,2:50:00,8:55:00,4,SG191,SG,SpiceJet,8484,,
43,,,9:35:00,5,2:50:00,12:25:00,5,I51529,I5,AirAsia India,8590,,
44,,,9:35:00,6,2:50:00,12:25:00,6,I51529,I5,AirAsia India,8590,,
45,,,18:45:00,6,2:55:00,21:40:00,6,I5857,I5,AirAsia India,8590,,
46,,,18:45:00,4,2:55:00,21:40:00,4,I5857,I5,AirAsia India,8590,,
47,,,18:45:00,0,2:55:00,21:40:00,0,I5857,I5,AirAsia India,8591,,
48,,,20:30:00,5,2:55:00,23:25:00,5,G8119,G8,Go First,11038,,
49,,,13:45:00,1,2:50:00,16:35:00,1,UK839,UK,Vistara,10462,11891,
50,,,19:55:00,1,2:50:00,22:45:00,1,UK835,UK,Vistara,10462,11891,
51,,,8:45:00,3,2:40:00,11:25:00,3,SG8207,SG,SpiceJet,10644,,
52,,,8:45:00,4,2:40:00,11:25:00,4,SG8207,SG,SpiceJet,10644,,
53,,,8:45:00,5,2:40:00,11:25:00,5,SG8207,SG,SpiceJet,10644,,
54,,,8:45:00,6,2:40:00,11:25:00,6,SG8207,SG,SpiceJet,10644,,
55,,,18:25:00,4,2:45:00,21:10:00,4,SG8103,SG,SpiceJet,10644,,
56,,,18:25:00,5,2:45:00,21:10:00,5,SG8103,SG,SpiceJet,10644,,
57,,,18:25:00,1,2:45:00,21:10:00,1,SG8103,SG,SpiceJet,10644,,
58,,,19:55:00,2,2:50:00,22:45:00,2,UK835,UK,Vistara,10644,11891,30449
59,,,13:45:00,2,2:50:00,16:35:00,2,UK839,UK,Vistara,10644,13090,
