index,,,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare
0,,,19:05:00,2,1:45:00,20:50:00,2,NK1301,NK,Spirit Airlines,20853,,
1,,,19:05:00,1,1:45:00,20:50:00,1,NK1301,NK,Spirit Airlines,23590,,
2,,,19:05:00,5,1:45:00,20:50:00,5,NK1301,NK,Spirit Airlines,23590,,
3,,,19:05:00,3,1:45:00,20:50:00,3,NK1301,NK,Spirit Airlines,23590,,
4,,,10:16:00,4,1:44:00,12:00:00,4,NK1301,NK,Spirit Airlines,32712,,
5,,,19:05:00,6,1:45:00,20:50:00,6,NK1301,NK,Spirit Airlines,32712,,
6,,,22:46:00,6,1:34:00,0:20:00,0,DL1137,DL,Delta Airlines,44537,62648,
7,,,20:53:00,6,1:36:00,22:29:00,6,DL2331,DL,Delta Airlines,44537,111792,
8,,,17:00:00,6,1:30:00,18:30:00,6,DL383,DL,Delta Airlines,45326,,
9,,,12:15:00,4,1:32:00,13:47:00,4,DL2066,DL,Delta Airlines,45326,,
10,,,11:07:00,6,1:33:00,12:40:00,6,DL515,DL,Delta Airlines,45326,,
11,,,22:46:00,4,1:34:00,0:20:00,5,DL1137,DL,Delta Airlines,45326,62648,
12,,,8:45:00,4,1:35:00,10:20:00,4,DL345,DL,Delta Airlines,45326,62648,
13,,,20:53:00,4,1:36:00,22:29:00,4,DL2331,DL,Delta Airlines,45326,62648,
14,,,20:53:00,5,1:36:00,22:29:00,5,DL2331,DL,Delta Airlines,45326,,
15,,,15:10:00,4,1:38:00,16:48:00,4,DL1678,DL,Delta Airlines,45326,,
16,,,17:50:00,5,1:40:00,19:30:00,5,DL2864,DL,Delta Airlines,45326,,
17,,,16:35:00,4,1:40:00,18:15:00,4,DL335,DL,Delta Airlines,45326,62648,
18,,,19:30:00,6,1:40:00,21:10:00,6,DL303,DL,Delta Airlines,45326,,
19,,,18:00:00,6,1:40:00,19:40:00,6,DL2864,DL,Delta Airlines,45326,115969,
20,,,17:50:00,4,1:40:00,19:30:00,4,DL2864,DL,Delta Airlines,45326,,
21,,,16:35:00,5,1:40:00,18:15:00,5,DL335,DL,Delta Airlines,45326,62648,
22,,,10:00:00,4,1:40:00,11:40:00,4,DL516,DL,Delta Airlines,45326,62648,
23,,,14:10:00,4,1:40:00,15:50:00,4,DL2284,DL,Delta Airlines,45326,,
24,,,14:10:00,6,1:40:00,15:50:00,6,DL2284,DL,Delta Airlines,45326,,
25,,,14:45:00,1,1:14:00,15:59:00,1,NK762,NK,Spirit Airlines,8748,,
26,,,14:45:00,5,1:14:00,15:59:00,5,NK762,NK,Spirit Airlines,8748,,
27,,,14:45:00,2,1:14:00,15:59:00,2,NK762,NK,Spirit Airlines,12154,,
28,,,14:45:00,3,1:14:00,15:59:00,3,NK762,NK,Spirit Airlines,14844,,
29,,,22:30:00,5,0:57:00,23:27:00,5,DL2976,DL,Delta Airlines,16402,20465,
30,,,19:59:00,5,1:09:00,21:08:00,5,DL1453,DL,Delta Airlines,16402,19616,
31,,,6:30:00,5,1:28:00,7:58:00,5,UA5284,UA,United Airlines,16413,21992,
32,,,8:00:00,5,1:14:00,9:14:00,5,AA2893,AA,American Airlines,16458,,
33,,,15:05:00,5,1:17:00,16:22:00,5,AA3266,AA,American Airlines,16458,,
34,,,18:24:00,5,1:21:00,19:45:00,5,AA3688,AA,American Airlines,16458,,
35,,,10:56:00,2,1:12:00,12:08:00,2,UA299,UA,United Airlines,17130,22672,
36,,,10:56:00,0,1:12:00,12:08:00,0,UA299,UA,United Airlines,17130,22672,
37,,,10:56:00,1,1:12:00,12:08:00,1,UA299,UA,United Airlines,17130,22672,
38,,,12:35:00,2,1:23:00,13:58:00,2,UA5339,UA,United Airlines,17130,22672,
39,,,12:40:00,0,1:23:00,14:03:00,0,UA5339,UA,United Airlines,17130,22672,
40,,,12:35:00,1,1:23:00,13:58:00,1,UA5339,UA,United Airlines,17130,22672,
41,,,6:30:00,2,1:28:00,7:58:00,2,UA5284,UA,United Airlines,17130,22672,
42,,,6:30:00,1,1:28:00,7:58:00,1,UA5284,UA,United Airlines,17130,22672,
43,,,22:30:00,1,0:57:00,23:27:00,1,DL2976,DL,Delta Airlines,17175,,
44,,,22:30:00,4,0:57:00,23:27:00,4,DL2976,DL,Delta Airlines,17175,,
45,,,7:15:00,6,1:00:00,8:15:00,6,DL2822,DL,Delta Airlines,17175,20465,
46,,,8:00:00,2,1:14:00,9:14:00,2,AA2893,AA,American Airlines,17175,,
47,,,8:00:00,1,1:14:00,9:14:00,1,AA2893,AA,American Airlines,17175,,
48,,,11:18:00,1,1:19:00,12:37:00,1,AA4541,AA,American Airlines,17175,,
49,,,8:00:00,3,1:14:00,9:14:00,3,AA2893,AA,American Airlines,17369,,
50,,,19:20:00,2,13:20:00,8:40:00,3,VS104,VS,Virgin Atlantic,103422,224440,544379
51,,,17:45:00,2,13:20:00,7:05:00,3,VS4044,VS,Virgin Atlantic,103422,,
52,,,17:45:00,1,13:20:00,7:05:00,2,VS4044,VS,Virgin Atlantic,103422,,
53,,,19:20:00,6,13:20:00,8:40:00,0,VS104,VS,Virgin Atlantic,103422,226226,
54,,,19:20:00,1,13:20:00,8:40:00,2,VS104,VS,Virgin Atlantic,103422,226226,
55,,,17:45:00,6,13:20:00,7:05:00,0,VS4044,VS,Virgin Atlantic,103422,,
56,,,19:20:00,0,13:20:00,8:40:00,1,VS104,VS,Virgin Atlantic,103422,222552,
57,,,19:20:00,5,13:20:00,8:40:00,6,VS104,VS,Virgin Atlantic,108801,230513,
58,,,17:45:00,3,13:20:00,7:05:00,4,VS4044,VS,Virgin Atlantic,108801,228683,
59,,,17:45:00,5,13:20:00,7:05:00,6,VS4044,VS,Virgin Atlantic,108801,,
60,,,19:20:00,3,13:20:00,8:40:00,4,VS104,VS,Virgin Atlantic,108801,228683,
61,,,17:45:00,0,13:20:00,7:05:00,1,VS4044,VS,Virgin Atlantic,114178,,
62,,,19:20:00,4,13:20:00,8:40:00,5,VS104,VS,Virgin Atlantic,119557,228683,781949
63,,,21:50:00,5,13:20:00,11:10:00,6,DL32,DL,Delta Airlines,159741,,
64,,,19:20:00,5,13:20:00,8:40:00,6,DL5998,DL,Delta Airlines,159741,230513,
65,,,17:45:00,5,13:20:00,7:05:00,6,DL30,DL,Delta Airlines,159741,,
66,,,19:20:00,0,13:20:00,8:40:00,1,DL5998,DL,Delta Airlines,160772,,661553
67,,,17:45:00,1,13:20:00,7:05:00,2,DL30,DL,Delta Airlines,160772,,787109
68,,,21:50:00,1,13:20:00,11:10:00,2,DL32,DL,Delta Airlines,160772,,644153
69,,,21:50:00,0,13:20:00,11:10:00,1,DL32,DL,Delta Airlines,160772,,648397
70,,,19:20:00,1,13:20:00,8:40:00,2,DL5998,DL,Delta Airlines,160772,226226,
71,,,17:45:00,0,13:20:00,7:05:00,1,DL30,DL,Delta Airlines,160772,,648397
72,,,21:50:00,1,13:20:00,11:10:00,2,VS4010,VS,Virgin Atlantic,161327,,
73,,,21:50:00,0,13:20:00,11:10:00,1,VS4010,VS,Virgin Atlantic,161327,,
74,,,19:20:00,6,13:20:00,8:40:00,0,DL5998,DL,Delta Airlines,161327,226226,
75,,,22:05:00,6,14:15:00,12:20:00,0,VS3993,VS,Virgin Atlantic,104234,243873,
76,,,22:05:00,1,14:15:00,12:20:00,2,VS3993,VS,Virgin Atlantic,107990,243873,
77,,,22:05:00,2,14:15:00,12:20:00,3,VS3993,VS,Virgin Atlantic,107990,244810,
78,,,22:05:00,0,14:15:00,12:20:00,1,VS3993,VS,Virgin Atlantic,107990,,625056
79,,,15:30:00,0,14:40:00,6:10:00,1,VS3970,VS,Virgin Atlantic,107990,,625056
